aa	af:Afar	af-NA:Afar	am:አፋርኛ	ar:الأفارية	ar-AE:الأفارية	ar-BH:الأفارية	ar-DJ:الأفارية	ar-DZ:الأفارية	ar-EG:الأفارية	ar-EH:الأفارية	ar-ER:الأفارية	ar-IL:الأفارية	ar-IQ:الأفارية	ar-JO:الأفارية	ar-KM:الأفارية	ar-KW:الأفارية	ar-LB:الأفارية	ar-LY:الأفارية	ar-MA:الأفارية	ar-MR:الأفارية
crr	af:Carolina-Algonkin	af-NA:Carolina-Algonkin	am:ካሮሊና አልጎንክዊያን	ar:الألغونكوية كارولينا	ar-AE:الألغونكوية كارولينا	ar-BH:الألغونكوية كارولينا	ar-DJ:الألغونكوية كارولينا	ar-DZ:الألغونكوية كارولينا	ar-EG:الألغونكوية كارولينا	ar-EH:الألغونكوية كارولينا	ar-ER:الألغونكوية كارولينا	ar-IL:الألغونكوية كارولينا	ar-IQ:الألغونكوية كارولينا	ar-JO:الألغونكوية كارولينا	ar-KM:الألغونكوية كارولينا	ar-KW:الألغونكوية كارولينا	ar-LB:الألغونكوية كارولينا	ar-LY:الألغونكوية كارولينا	ar-MA:الألغونكوية كارولينا	ar-MR:الألغونكوية كارولينا
crs	af:Seselwa Franskreools	af-NA:Seselwa Franskreools	am:ሰሰላዊ ክሬኦሊ ፈረንሳይኛ	ar:الفرنسية الكريولية السيشيلية	ar-AE:الفرنسية الكريولية السيشيلية	ar-BH:الفرنسية الكريولية السيشيلية	ar-DJ:الفرنسية الكريولية السيشيلية	ar-DZ:الفرنسية الكريولية السيشيلية	ar-EG:الفرنسية الكريولية السيشيلية	ar-EH:الفرنسية الكريولية السيشيلية	ar-ER:الفرنسية الكريولية السيشيلية	ar-IL:الفرنسية الكريولية السيشيلية	ar-IQ:الفرنسية الكريولية السيشيلية	ar-JO:الفرنسية الكريولية السيشيلية	ar-KM:الفرنسية الكريولية السيشيلية	ar-KW:الفرنسية الكريولية السيشيلية	ar-LB:الفرنسية الكريولية السيشيلية	ar-LY:الفرنسية الكريولية السيشيلية	ar-MA:الفرنسية الكريولية السيشيلية	ar-MR:الفرنسية الكريولية السيشيلية
cs	af:Tsjeggies	af-NA:Tsjeggies	agq:Chɛ̂	ak:Kyɛk kasa	am:ቼክኛ	ar:التشيكية	ar-AE:التشيكية	ar-BH:التشيكية	ar-DJ:التشيكية	ar-DZ:التشيكية	ar-EG:التشيكية	ar-EH:التشيكية	ar-ER:التشيكية	ar-IL:التشيكية	ar-IQ:التشيكية	ar-JO:التشيكية	ar-KM:التشيكية	ar-KW:التشيكية	ar-LB:التشيكية	ar-LY:التشيكية
csb	ar:الكاشبايان	ar-AE:الكاشبايان	ar-BH:الكاشبايان	ar-DJ:الكاشبايان	ar-DZ:الكاشبايان	ar-EG:الكاشبايان	ar-EH:الكاشبايان	ar-ER:الكاشبايان	ar-IL:الكاشبايان	ar-IQ:الكاشبايان	ar-JO:الكاشبايان	ar-KM:الكاشبايان	ar-KW:الكاشبايان	ar-LB:الكاشبايان	ar-LY:الكاشبايان	ar-MA:الكاشبايان	ar-MR:الكاشبايان	ar-OM:الكاشبايان	ar-PS:الكاشبايان	ar-QA:الكاشبايان
csw	af:Swampy Cree	af-NA:Swampy Cree	ak:Tadeɛm Kreefoɔ Kasa	am:ስዋምፒ ክሪ	ar:السوامبي-كري	ar-AE:السوامبي-كري	ar-BH:السوامبي-كري	ar-DJ:السوامبي-كري	ar-DZ:السوامبي-كري	ar-EG:السوامبي-كري	ar-EH:السوامبي-كري	ar-ER:السوامبي-كري	ar-IL:السوامبي-كري	ar-IQ:السوامبي-كري	ar-JO:السوامبي-كري	ar-KM:السوامبي-كري	ar-KW:السوامبي-كري	ar-LB:السوامبي-كري	ar-LY:السوامبي-كري	ar-MA:السوامبي-كري
cu	af:Kerkslawies	af-NA:Kerkslawies	am:ቸርች ስላቪክ	ar:سلافية كنسية	ar-AE:سلافية كنسية	ar-BH:سلافية كنسية	ar-DJ:سلافية كنسية	ar-DZ:سلافية كنسية	ar-EG:سلافية كنسية	ar-EH:سلافية كنسية	ar-ER:سلافية كنسية	ar-IL:سلافية كنسية	ar-IQ:سلافية كنسية	ar-JO:سلافية كنسية	ar-KM:سلافية كنسية	ar-KW:سلافية كنسية	ar-LB:سلافية كنسية	ar-LY:سلافية كنسية	ar-MA:سلافية كنسية	ar-MR:سلافية كنسية
cv	af:Chuvash	af-NA:Chuvash	ak:Kyuvahyi	am:ቹቫሽኛ	ar:التشوفاشي	ar-AE:التشوفاشي	ar-BH:التشوفاشي	ar-DJ:التشوفاشي	ar-DZ:التشوفاشي	ar-EG:التشوفاشي	ar-EH:التشوفاشي	ar-ER:التشوفاشي	ar-IL:التشوفاشي	ar-IQ:التشوفاشي	ar-JO:التشوفاشي	ar-KM:التشوفاشي	ar-KW:التشوفاشي	ar-LB:التشوفاشي	ar-LY:التشوفاشي	ar-MA:التشوفاشي
cy	af:Wallies	af-NA:Wallies	ak:Wɛɛhye Kasa	am:ዌልሽ	ar:الويلزية	ar-AE:الويلزية	ar-BH:الويلزية	ar-DJ:الويلزية	ar-DZ:الويلزية	ar-EG:الويلزية	ar-EH:الويلزية	ar-ER:الويلزية	ar-IL:الويلزية	ar-IQ:الويلزية	ar-JO:الويلزية	ar-KM:الويلزية	ar-KW:الويلزية	ar-LB:الويلزية	ar-LY:الويلزية	ar-MA:الويلزية
da	af:Deens	af-NA:Deens	ak:Dane kasa	am:ዴኒሽ	ar:الدانمركية	ar-AE:الدانمركية	ar-BH:الدانمركية	ar-DJ:الدانمركية	ar-DZ:الدانمركية	ar-EG:الدنماركية	ar-EH:الدانمركية	ar-ER:الدانمركية	ar-IL:الدانمركية	ar-IQ:الدانمركية	ar-JO:الدانمركية	ar-KM:الدانمركية	ar-KW:الدانمركية	ar-LB:الدانمركية	ar-LY:الدانمركية	ar-MA:الدانمركية
dak	af:Dakotaans	af-NA:Dakotaans	am:ዳኮታ	ar:الداكوتا	ar-AE:الداكوتا	ar-BH:الداكوتا	ar-DJ:الداكوتا	ar-DZ:الداكوتا	ar-EG:الداكوتا	ar-EH:الداكوتا	ar-ER:الداكوتا	ar-IL:الداكوتا	ar-IQ:الداكوتا	ar-JO:الداكوتا	ar-KM:الداكوتا	ar-KW:الداكوتا	ar-LB:الداكوتا	ar-LY:الداكوتا	ar-MA:الداكوتا	ar-MR:الداكوتا
dar	af:Dakota	af-NA:Dakota	am:ዳርግዋ	ar:الدارجوا	ar-AE:الدارجوا	ar-BH:الدارجوا	ar-DJ:الدارجوا	ar-DZ:الدارجوا	ar-EG:الدارجوا	ar-EH:الدارجوا	ar-ER:الدارجوا	ar-IL:الدارجوا	ar-IQ:الدارجوا	ar-JO:الدارجوا	ar-KM:الدارجوا	ar-KW:الدارجوا	ar-LB:الدارجوا	ar-LY:الدارجوا	ar-MA:الدارجوا	ar-MR:الدارجوا
dav	af:Taita	af-NA:Taita	am:ታይታ	ar:تيتا	ar-AE:تيتا	ar-BH:تيتا	ar-DJ:تيتا	ar-DZ:تيتا	ar-EG:تيتا	ar-EH:تيتا	ar-ER:تيتا	ar-IL:تيتا	ar-IQ:تيتا	ar-JO:تيتا	ar-KM:تيتا	ar-KW:تيتا	ar-LB:تيتا	ar-LY:تيتا	ar-MA:تيتا	ar-MR:تيتا
de	af:Duits	af-NA:Duits	agq:Dzamɛ̀	ak:Gyaaman	am:ጀርመንኛ	ar:الألمانية	ar-AE:الألمانية	ar-BH:الألمانية	ar-DJ:الألمانية	ar-DZ:الألمانية	ar-EG:الألمانية	ar-EH:الألمانية	ar-ER:الألمانية	ar-IL:الألمانية	ar-IQ:الألمانية	ar-JO:الألمانية	ar-KM:الألمانية	ar-KW:الألمانية	ar-LB:الألمانية	ar-LY:الألمانية
de-AT	ak:Ɔstria Gyaaman	am:የኦስትሪያ ጀርመንኛ	ar:الألمانية النمساوية	ar-AE:الألمانية النمساوية	ar-BH:الألمانية النمساوية	ar-DJ:الألمانية النمساوية	ar-DZ:الألمانية النمساوية	ar-EG:الألمانية النمساوية	ar-EH:الألمانية النمساوية	ar-ER:الألمانية النمساوية	ar-IL:الألمانية النمساوية	ar-IQ:الألمانية النمساوية	ar-JO:الألمانية النمساوية	ar-KM:الألمانية النمساوية	ar-KW:الألمانية النمساوية	ar-LB:الألمانية النمساوية	ar-LY:الألمانية النمساوية	ar-MA:الألمانية النمساوية	ar-MR:الألمانية النمساوية	ar-OM:الألمانية النمساوية
de-CH	ak:Swisalande Gyaaman	am:የስዊዝ ከፍተኛ ጀርመንኛ	as:ছুইচ হাই জাৰ্মান	ast:altualemán de Suiza	az-Cyrl:Исвечрә јүксәк алманҹасы	ba:немец (Швейцария)	be:швейцарская літаратурная нямецкая	be-tarask:швейцарская літаратурная нямецкая	bgn:سویسین جرمنی	bgn-AE:سویسین جرمنی	bgn-AF:سویسین جرمنی	bgn-IR:سویسین جرمنی	bgn-OM:سویسین جرمنی	br:alamaneg uhel Suis	brx:सुइस गोजौ जार्मान	bs:visoki njemački (Švicarska)	bs-Cyrl:високи њемачки (Швицарска)	bs-Latn:visoki njemački (Švicarska)	ca:alemany estàndard suís	ca-AD:alemany estàndard suís
del	am:ዳላዌር	ar:الديلوير	ar-AE:الديلوير	ar-BH:الديلوير	ar-DJ:الديلوير	ar-DZ:الديلوير	ar-EG:الديلوير	ar-EH:الديلوير	ar-ER:الديلوير	ar-IL:الديلوير	ar-IQ:الديلوير	ar-JO:الديلوير	ar-KM:الديلوير	ar-KW:الديلوير	ar-LB:الديلوير	ar-LY:الديلوير	ar-MA:الديلوير	ar-MR:الديلوير	ar-OM:الديلوير	ar-PS:الديلوير
den	ar:السلافية	ar-AE:السلافية	ar-BH:السلافية	ar-DJ:السلافية	ar-DZ:السلافية	ar-EG:السلافية	ar-EH:السلافية	ar-ER:السلافية	ar-IL:السلافية	ar-IQ:السلافية	ar-JO:السلافية	ar-KM:السلافية	ar-KW:السلافية	ar-LB:السلافية	ar-LY:السلافية	ar-MA:السلافية	ar-MR:السلافية	ar-OM:السلافية	ar-PS:السلافية	ar-QA:السلافية
dgr	af:Dogrib	af-NA:Dogrib	am:ዶግሪብ	ar:الدوجريب	ar-AE:الدوجريب	ar-BH:الدوجريب	ar-DJ:الدوجريب	ar-DZ:الدوجريب	ar-EG:الدوجريب	ar-EH:الدوجريب	ar-ER:الدوجريب	ar-IL:الدوجريب	ar-IQ:الدوجريب	ar-JO:الدوجريب	ar-KM:الدوجريب	ar-KW:الدوجريب	ar-LB:الدوجريب	ar-LY:الدوجريب	ar-MA:الدوجريب	ar-MR:الدوجريب
din	am:ዲንካ	ar:الدنكا	ar-AE:الدنكا	ar-BH:الدنكا	ar-DJ:الدنكا	ar-DZ:الدنكا	ar-EG:الدنكا	ar-EH:الدنكا	ar-ER:الدنكا	ar-IL:الدنكا	ar-IQ:الدنكا	ar-JO:الدنكا	ar-KM:الدنكا	ar-KW:الدنكا	ar-LB:الدنكا	ar-LY:الدنكا	ar-MA:الدنكا	ar-MR:الدنكا	ar-OM:الدنكا	ar-PS:الدنكا
dje	af:Zarma	af-NA:Zarma	am:ዛርማኛ	ar:الزارمية	ar-AE:الزارمية	ar-BH:الزارمية	ar-DJ:الزارمية	ar-DZ:الزارمية	ar-EG:الزارمية	ar-EH:الزارمية	ar-ER:الزارمية	ar-IL:الزارمية	ar-IQ:الزارمية	ar-JO:الزارمية	ar-KM:الزارمية	ar-KW:الزارمية	ar-LB:الزارمية	ar-LY:الزارمية	ar-MA:الزارمية	ar-MR:الزارمية
doi	af:Dogri	af-NA:Dogri	ak:Dɔgri	am:ዶግሪ	ar:الدوجرية	ar-AE:الدوجرية	ar-BH:الدوجرية	ar-DJ:الدوجرية	ar-DZ:الدوجرية	ar-EG:الدوجرية	ar-EH:الدوجرية	ar-ER:الدوجرية	ar-IL:الدوجرية	ar-IQ:الدوجرية	ar-JO:الدوجرية	ar-KM:الدوجرية	ar-KW:الدوجرية	ar-LB:الدوجرية	ar-LY:الدوجرية	ar-MA:الدوجرية
dsb	af:Nedersorbies	af-NA:Nedersorbies	ak:Sɔɔbia a ɛwɔ fam	am:የታችኛው ሶርቢያኛ	ar:صوربيا السفلى	ar-AE:صوربيا السفلى	ar-BH:صوربيا السفلى	ar-DJ:صوربيا السفلى	ar-DZ:صوربيا السفلى	ar-EG:صوربيا السفلى	ar-EH:صوربيا السفلى	ar-ER:صوربيا السفلى	ar-IL:صوربيا السفلى	ar-IQ:صوربيا السفلى	ar-JO:صوربيا السفلى	ar-KM:صوربيا السفلى	ar-KW:صوربيا السفلى	ar-LB:صوربيا السفلى	ar-LY:صوربيا السفلى	ar-MA:صوربيا السفلى
dtp	am:ሴንተራል ዱሰን	ast:dusun central	cs:kadazandusunština	de:Zentral-Dusun	de-AT:Zentral-Dusun	de-BE:Zentral-Dusun	de-CH:Zentral-Dusun	de-IT:Zentral-Dusun	de-LI:Zentral-Dusun	de-LU:Zentral-Dusun	en:Central Dusun	en-001:Central Dusun	en-150:Central Dusun	en-AE:Central Dusun	en-AG:Central Dusun	en-AI:Central Dusun	en-AS:Central Dusun	en-AT:Central Dusun	en-AU:Central Dusun	en-BB:Central Dusun
dua	af:Duala	af-NA:Duala	am:ዱዋላኛ	ar:الديولا	ar-AE:الديولا	ar-BH:الديولا	ar-DJ:الديولا	ar-DZ:الديولا	ar-EG:الديولا	ar-EH:الديولا	ar-ER:الديولا	ar-IL:الديولا	ar-IQ:الديولا	ar-JO:الديولا	ar-KM:الديولا	ar-KW:الديولا	ar-LB:الديولا	ar-LY:الديولا	ar-MA:الديولا	ar-MR:الديولا
dum	ar:الهولندية الوسطى	ar-AE:الهولندية الوسطى	ar-BH:الهولندية الوسطى	ar-DJ:الهولندية الوسطى	ar-DZ:الهولندية الوسطى	ar-EG:الهولندية الوسطى	ar-EH:الهولندية الوسطى	ar-ER:الهولندية الوسطى	ar-IL:الهولندية الوسطى	ar-IQ:الهولندية الوسطى	ar-JO:الهولندية الوسطى	ar-KM:الهولندية الوسطى	ar-KW:الهولندية الوسطى	ar-LB:الهولندية الوسطى	ar-LY:الهولندية الوسطى	ar-MA:الهولندية الوسطى	ar-MR:الهولندية الوسطى	ar-OM:الهولندية الوسطى	ar-PS:الهولندية الوسطى	ar-QA:الهولندية الوسطى
dv	af:Divehi	af-NA:Divehi	am:ዲቬሂ	ar:المالديفية	ar-AE:المالديفية	ar-BH:المالديفية	ar-DJ:المالديفية	ar-DZ:المالديفية	ar-EG:المالديفية	ar-EH:المالديفية	ar-ER:المالديفية	ar-IL:المالديفية	ar-IQ:المالديفية	ar-JO:المالديفية	ar-KM:المالديفية	ar-KW:المالديفية	ar-LB:المالديفية	ar-LY:المالديفية	ar-MA:المالديفية	ar-MR:المالديفية
dyo	af:Jola-Fonyi	af-NA:Jola-Fonyi	am:ጆላ-ፎንዪ	ar:جولا فونيا	ar-AE:جولا فونيا	ar-BH:جولا فونيا	ar-DJ:جولا فونيا	ar-DZ:جولا فونيا	ar-EG:جولا فونيا	ar-EH:جولا فونيا	ar-ER:جولا فونيا	ar-IL:جولا فونيا	ar-IQ:جولا فونيا	ar-JO:جولا فونيا	ar-KM:جولا فونيا	ar-KW:جولا فونيا	ar-LB:جولا فونيا	ar-LY:جولا فونيا	ar-MA:جولا فونيا	ar-MR:جولا فونيا
dyu	am:ድዩላ	ar:الدايلا	ar-AE:الدايلا	ar-BH:الدايلا	ar-DJ:الدايلا	ar-DZ:الدايلا	ar-EG:الدايلا	ar-EH:الدايلا	ar-ER:الدايلا	ar-IL:الدايلا	ar-IQ:الدايلا	ar-JO:الدايلا	ar-KM:الدايلا	ar-KW:الدايلا	ar-LB:الدايلا	ar-LY:الدايلا	ar-MA:الدايلا	ar-MR:الدايلا	ar-OM:الدايلا	ar-PS:الدايلا
dz	af:Dzongkha	af-NA:Dzongkha	am:ድዞንግኻኛ	ar:دزونكا	ar-AE:دزونكا	ar-BH:دزونكا	ar-DJ:دزونكا	ar-DZ:دزونكا	ar-EG:دزونكا	ar-EH:دزونكا	ar-ER:دزونكا	ar-IL:دزونكا	ar-IQ:دزونكا	ar-JO:دزونكا	ar-KM:دزونكا	ar-KW:دزونكا	ar-LB:دزونكا	ar-LY:دزونكا	ar-MA:دزونكا	ar-MR:دزونكا
dzg	af:Dazaga	af-NA:Dazaga	am:ዳዛጋ	ar:القرعانية	ar-AE:القرعانية	ar-BH:القرعانية	ar-DJ:القرعانية	ar-DZ:القرعانية	ar-EG:القرعانية	ar-EH:القرعانية	ar-ER:القرعانية	ar-IL:القرعانية	ar-IQ:القرعانية	ar-JO:القرعانية	ar-KM:القرعانية	ar-KW:القرعانية	ar-LB:القرعانية	ar-LY:القرعانية	ar-MA:القرعانية	ar-MR:القرعانية
ebu	af:Embu	af-NA:Embu	am:ኢምቡ	ar:إمبو	ar-AE:إمبو	ar-BH:إمبو	ar-DJ:إمبو	ar-DZ:إمبو	ar-EG:إمبو	ar-EH:إمبو	ar-ER:إمبو	ar-IL:إمبو	ar-IQ:إمبو	ar-JO:إمبو	ar-KM:إمبو	ar-KW:إمبو	ar-LB:إمبو	ar-LY:إمبو	ar-MA:إمبو	ar-MR:إمبو
ee	af:Ewe	af-NA:Ewe	ak:Ayigbe	am:ኢዊ	ar:الإيوي	ar-AE:الإيوي	ar-BH:الإيوي	ar-DJ:الإيوي	ar-DZ:الإيوي	ar-EG:الإيوي	ar-EH:الإيوي	ar-ER:الإيوي	ar-IL:الإيوي	ar-IQ:الإيوي	ar-JO:الإيوي	ar-KM:الإيوي	ar-KW:الإيوي	ar-LB:الإيوي	ar-LY:الإيوي	ar-MA:الإيوي
efi	af:Efik	af-NA:Efik	am:ኤፊክ	ar:الإفيك	ar-AE:الإفيك	ar-BH:الإفيك	ar-DJ:الإفيك	ar-DZ:الإفيك	ar-EG:الإفيك	ar-EH:الإفيك	ar-ER:الإفيك	ar-IL:الإفيك	ar-IQ:الإفيك	ar-JO:الإفيك	ar-KM:الإفيك	ar-KW:الإفيك	ar-LB:الإفيك	ar-LY:الإفيك	ar-MA:الإفيك	ar-MR:الإفيك
egl	ast:emilianu	ca:emilià	ca-AD:emilià	ca-ES-valencia:emilià	ca-FR:emilià	ca-IT:emilià	cs:emilijština	de:Emilianisch	de-AT:Emilianisch	de-BE:Emilianisch	de-CH:Emilianisch	de-IT:Emilianisch	de-LI:Emilianisch	de-LU:Emilianisch	en:Emilian	en-001:Emilian	en-150:Emilian	en-AE:Emilian	en-AG:Emilian	en-AI:Emilian
egy	af:Antieke Egipties	af-NA:Antieke Egipties	am:የጥንታዊ ግብጽኛ	ar:المصرية القديمة	ar-AE:المصرية القديمة	ar-BH:المصرية القديمة	ar-DJ:المصرية القديمة	ar-DZ:المصرية القديمة	ar-EG:المصرية القديمة	ar-EH:المصرية القديمة	ar-ER:المصرية القديمة	ar-IL:المصرية القديمة	ar-IQ:المصرية القديمة	ar-JO:المصرية القديمة	ar-KM:المصرية القديمة	ar-KW:المصرية القديمة	ar-LB:المصرية القديمة	ar-LY:المصرية القديمة	ar-MA:المصرية القديمة	ar-MR:المصرية القديمة
eka	af:Ekajuk	af-NA:Ekajuk	am:ኤካጁክ	ar:الإكاجك	ar-AE:الإكاجك	ar-BH:الإكاجك	ar-DJ:الإكاجك	ar-DZ:الإكاجك	ar-EG:الإكاجك	ar-EH:الإكاجك	ar-ER:الإكاجك	ar-IL:الإكاجك	ar-IQ:الإكاجك	ar-JO:الإكاجك	ar-KM:الإكاجك	ar-KW:الإكاجك	ar-LB:الإكاجك	ar-LY:الإكاجك	ar-MA:الإكاجك	ar-MR:الإكاجك
el	af:Grieks	af-NA:Grieks	agq:Gɨ̀lêʔ	ak:Greek kasa	am:ግሪክኛ	ar:اليونانية	ar-AE:اليونانية	ar-BH:اليونانية	ar-DJ:اليونانية	ar-DZ:اليونانية	ar-EG:اليونانية	ar-EH:اليونانية	ar-ER:اليونانية	ar-IL:اليونانية	ar-IQ:اليونانية	ar-JO:اليونانية	ar-KM:اليونانية	ar-KW:اليونانية	ar-LB:اليونانية	ar-LY:اليونانية
elx	ar:الإمايت	ar-AE:الإمايت	ar-BH:الإمايت	ar-DJ:الإمايت	ar-DZ:الإمايت	ar-EG:الإمايت	ar-EH:الإمايت	ar-ER:الإمايت	ar-IL:الإمايت	ar-IQ:الإمايت	ar-JO:الإمايت	ar-KM:الإمايت	ar-KW:الإمايت	ar-LB:الإمايت	ar-LY:الإمايت	ar-MA:الإمايت	ar-MR:الإمايت	ar-OM:الإمايت	ar-PS:الإمايت	ar-QA:الإمايت
en	af:Engels	af-NA:Engels	agq:Kɨŋgele	ak:Borɔfo	am:እንግሊዝኛ	ar:الإنجليزية	ar-AE:الإنجليزية	ar-BH:الإنجليزية	ar-DJ:الإنجليزية	ar-DZ:الإنجليزية	ar-EG:الإنجليزية	ar-EH:الإنجليزية	ar-ER:الإنجليزية	ar-IL:الإنجليزية	ar-IQ:الإنجليزية	ar-JO:الإنجليزية	ar-KM:الإنجليزية	ar-KW:الإنجليزية	ar-LB:الإنجليزية	ar-LY:الإنجليزية
en-AU	am:የአውስትራሊያ እንግሊዝኛ	as:অষ্ট্ৰেলিয়ান ইংৰাজী	ast:inglés d’Australia	az:Avstraliya ingiliscəsi	az-Cyrl:Австралија инҝилисҹәси	az-Latn:Avstraliya ingiliscəsi	ba:инглиз (Австралия)	be:аўстралійская англійская	be-tarask:аўстралійская англійская	bg:австралийски английски	bgn:استرالیاین انگریزی	bgn-AE:استرالیاین انگریزی	bgn-AF:استرالیاین انگریزی	bgn-IR:استرالیاین انگریزی	bgn-OM:استرالیاین انگریزی	br:saozneg Aostralia	brx:अस्ट्रेलियानि इंराजी	ca:anglès australià	ca-AD:anglès australià	ca-ES-valencia:anglès australià
en-CA	am:የካናዳ እንግሊዝኛ	as:কানাডিয়ান ইংৰাজী	ast:inglés de Canadá	az:Kanada ingiliscəsi	az-Cyrl:Канада инҝилисҹәси	az-Latn:Kanada ingiliscəsi	ba:инглиз (Канада)	bal-Latn:Engrézi (Kaynadhá)	be:канадская англійская	be-tarask:канадская англійская	bg:канадски английски	bgn:کاناڈاین انگریزی	bgn-AE:کاناڈاین انگریزی	bgn-AF:کاناڈاین انگریزی	bgn-IR:کاناڈاین انگریزی	bgn-OM:کاناڈاین انگریزی	bo:དབྱིན་ཇིའི་སྐད། (ཁེ་ན་ཌ་)	bo-IN:དབྱིན་ཇིའི་སྐད། (ཁེ་ན་ཌ་)	br:saozneg Kanada	brx:कानाडानि इंराजी
en-GB	ak:Ngresi Borɔfo	am:የብሪቲሽ እንግሊዝኛ	as:ব্ৰিটিছ ইংৰাজী	ast:inglés de Gran Bretaña	az:Britaniya ingiliscəsi	az-Cyrl:Британија инҝилисҹәси	az-Latn:Britaniya ingiliscəsi	ba:инглиз (Британия)	be:брытанская англійская	be-tarask:брытанская англійская	bg:британски английски	bgn:بریتانیاین انگریزی	bgn-AE:بریتانیاین انگریزی	bgn-AF:بریتانیاین انگریزی	bgn-IR:بریتانیاین انگریزی	bgn-OM:بریتانیاین انگریزی	bo:དབྱིན་ཇིའི་སྐད། (དབྱིན་ལན་)	bo-IN:དབྱིན་ཇིའི་སྐད། (དབྱིན་ལན་)	br:saozneg Breizh-Veur	brx:ब्रिटिश इंराजी
en-US	ak:Amɛrika Borɔfo	am:የአሜሪካ እንግሊዝኛ	as:আমেৰিকান ইংৰাজী	ast:inglés d’Estaos Xuníos	az:Amerika ingiliscəsi	az-Cyrl:Америка инҝилисҹәси	az-Latn:Amerika ingiliscəsi	ba:инглиз (АҠШ)	be:амерыканская англійская	be-tarask:амерыканская англійская	bg:американски английски	bgn:امریکاین انگریزی	bgn-AE:امریکاین انگریزی	bgn-AF:امریکاین انگریزی	bgn-IR:امریکاین انگریزی	bgn-OM:امریکاین انگریزی	blo:gɛɛshɩ (Ganɔ gaɖɔŋkɔnɔ kabʊtǝna Amalɩka nɩ)	bo:དབྱིན་ཇིའི་སྐད། (ཨ་རི་)	bo-IN:དབྱིན་ཇིའི་སྐད། (ཨ་རི་)	br:saozneg Amerika
enm	ar:الإنجليزية الوسطى	ar-AE:الإنجليزية الوسطى	ar-BH:الإنجليزية الوسطى	ar-DJ:الإنجليزية الوسطى	ar-DZ:الإنجليزية الوسطى	ar-EG:الإنجليزية الوسطى	ar-EH:الإنجليزية الوسطى	ar-ER:الإنجليزية الوسطى	ar-IL:الإنجليزية الوسطى	ar-IQ:الإنجليزية الوسطى	ar-JO:الإنجليزية الوسطى	ar-KM:الإنجليزية الوسطى	ar-KW:الإنجليزية الوسطى	ar-LB:الإنجليزية الوسطى	ar-LY:الإنجليزية الوسطى	ar-MA:الإنجليزية الوسطى	ar-MR:الإنجليزية الوسطى	ar-OM:الإنجليزية الوسطى	ar-PS:الإنجليزية الوسطى	ar-QA:الإنجليزية الوسطى
eo	af:Esperanto	af-NA:Esperanto	ak:Esperanto	am:ኤስፐራንቶ	ar:الإسبرانتو	ar-AE:الإسبرانتو	ar-BH:الإسبرانتو	ar-DJ:الإسبرانتو	ar-DZ:الإسبرانتو	ar-EG:الإسبرانتو	ar-EH:الإسبرانتو	ar-ER:الإسبرانتو	ar-IL:الإسبرانتو	ar-IQ:الإسبرانتو	ar-JO:الإسبرانتو	ar-KM:الإسبرانتو	ar-KW:الإسبرانتو	ar-LB:الإسبرانتو	ar-LY:الإسبرانتو	ar-MA:الإسبرانتو
es	af:Spaans	af-NA:Spaans	agq:Sɨ̀kpanìs	ak:Spain kasa	am:ስፓኒሽ	ar:الإسبانية	ar-AE:الإسبانية	ar-BH:الإسبانية	ar-DJ:الإسبانية	ar-DZ:الإسبانية	ar-EG:الإسبانية	ar-EH:الإسبانية	ar-ER:الإسبانية	ar-IL:الإسبانية	ar-IQ:الإسبانية	ar-JO:الإسبانية	ar-KM:الإسبانية	ar-KW:الإسبانية	ar-LB:الإسبانية	ar-LY:الإسبانية
es-419	am:የላቲን አሜሪካ ስፓኒሽ	ar:الإسبانية أمريكا اللاتينية	ar-AE:الإسبانية أمريكا اللاتينية	ar-BH:الإسبانية أمريكا اللاتينية	ar-DJ:الإسبانية أمريكا اللاتينية	ar-DZ:الإسبانية أمريكا اللاتينية	ar-EG:الإسبانية أمريكا اللاتينية	ar-EH:الإسبانية أمريكا اللاتينية	ar-ER:الإسبانية أمريكا اللاتينية	ar-IL:الإسبانية أمريكا اللاتينية	ar-IQ:الإسبانية أمريكا اللاتينية	ar-JO:الإسبانية أمريكا اللاتينية	ar-KM:الإسبانية أمريكا اللاتينية	ar-KW:الإسبانية أمريكا اللاتينية	ar-LB:الإسبانية أمريكا اللاتينية	ar-LY:الإسبانية أمريكا اللاتينية	ar-MA:الإسبانية أمريكا اللاتينية	ar-MR:الإسبانية أمريكا اللاتينية	ar-OM:الإسبانية أمريكا اللاتينية	ar-PS:الإسبانية أمريكا اللاتينية
es-ES	am:የአውሮፓ ስፓኒሽ	ar:الإسبانية الأوروبية	ar-AE:الإسبانية الأوروبية	ar-BH:الإسبانية الأوروبية	ar-DJ:الإسبانية الأوروبية	ar-DZ:الإسبانية الأوروبية	ar-EG:الإسبانية الأوروبية	ar-EH:الإسبانية الأوروبية	ar-ER:الإسبانية الأوروبية	ar-IL:الإسبانية الأوروبية	ar-IQ:الإسبانية الأوروبية	ar-JO:الإسبانية الأوروبية	ar-KM:الإسبانية الأوروبية	ar-KW:الإسبانية الأوروبية	ar-LB:الإسبانية الأوروبية	ar-LY:الإسبانية الأوروبية	ar-MA:الإسبانية الأوروبية	ar-MR:الإسبانية الأوروبية	ar-OM:الإسبانية الأوروبية	ar-PS:الإسبانية الأوروبية
