231A..231B    ; Basic_Emoji                  ; watch..hourglass done                                          # E0.6   [2] (⌚..⌛)
1F32B FE0F    ; Basic_Emoji                  ; fog                                                            # E0.7   [1] (🌫️)
1F32C FE0F    ; Basic_Emoji                  ; wind face                                                      # E0.7   [1] (🌬️)
1F336 FE0F    ; Basic_Emoji                  ; hot pepper                                                     # E0.7   [1] (🌶️)
1F37D FE0F    ; Basic_Emoji                  ; fork and knife with plate                                      # E0.7   [1] (🍽️)
1F396 FE0F    ; Basic_Emoji                  ; military medal                                                 # E0.7   [1] (🎖️)
1F397 FE0F    ; Basic_Emoji                  ; reminder ribbon                                                # E0.7   [1] (🎗️)
1F399 FE0F    ; Basic_Emoji                  ; studio microphone                                              # E0.7   [1] (🎙️)
1F39A FE0F    ; Basic_Emoji                  ; level slider                                                   # E0.7   [1] (🎚️)
1F39B FE0F    ; Basic_Emoji                  ; control knobs                                                  # E0.7   [1] (🎛️)
1F39E FE0F    ; Basic_Emoji                  ; film frames                                                    # E0.7   [1] (🎞️)
1F39F FE0F    ; Basic_Emoji                  ; admission tickets                                              # E0.7   [1] (🎟️)
1F3CB FE0F    ; Basic_Emoji                  ; person lifting weights                                         # E0.7   [1] (🏋️)
1F3CC FE0F    ; Basic_Emoji                  ; person golfing                                                 # E0.7   [1] (🏌️)
1F3CD FE0F    ; Basic_Emoji                  ; motorcycle                                                     # E0.7   [1] (🏍️)
1F3CE FE0F    ; Basic_Emoji                  ; racing car                                                     # E0.7   [1] (🏎️)
1F3D4 FE0F    ; Basic_Emoji                  ; snow-capped mountain                                           # E0.7   [1] (🏔️)
1F3D5 FE0F    ; Basic_Emoji                  ; camping                                                        # E0.7   [1] (🏕️)
1F3D6 FE0F    ; Basic_Emoji                  ; beach with umbrella                                            # E0.7   [1] (🏖️)
1F3D7 FE0F    ; Basic_Emoji                  ; building construction                                          # E0.7   [1] (🏗️)
1F3D8 FE0F    ; Basic_Emoji                  ; houses                                                         # E0.7   [1] (🏘️)
1F3D9 FE0F    ; Basic_Emoji                  ; cityscape                                                      # E0.7   [1] (🏙️)
1F3DA FE0F    ; Basic_Emoji                  ; derelict house                                                 # E0.7   [1] (🏚️)
1F3DB FE0F    ; Basic_Emoji                  ; classical building                                             # E0.7   [1] (🏛️)
1F3DC FE0F    ; Basic_Emoji                  ; desert                                                         # E0.7   [1] (🏜️)
1F3DD FE0F    ; Basic_Emoji                  ; desert island                                                  # E0.7   [1] (🏝️)
1F3DE FE0F    ; Basic_Emoji                  ; national park                                                  # E0.7   [1] (🏞️)
1F3DF FE0F    ; Basic_Emoji                  ; stadium                                                        # E0.7   [1] (🏟️)
1F3F3 FE0F    ; Basic_Emoji                  ; white flag                                                     # E0.7   [1] (🏳️)
1F3F5 FE0F    ; Basic_Emoji                  ; rosette                                                        # E0.7   [1] (🏵️)
1F3F7 FE0F    ; Basic_Emoji                  ; label                                                          # E0.7   [1] (🏷️)
1F43F FE0F    ; Basic_Emoji                  ; chipmunk                                                       # E0.7   [1] (🐿️)
1F441 FE0F    ; Basic_Emoji                  ; eye                                                            # E0.7   [1] (👁️)
1F4FD FE0F    ; Basic_Emoji                  ; film projector                                                 # E0.7   [1] (📽️)
1F549 FE0F    ; Basic_Emoji                  ; om                                                             # E0.7   [1] (🕉️)
1F54A FE0F    ; Basic_Emoji                  ; dove                                                           # E0.7   [1] (🕊️)
1F56F FE0F    ; Basic_Emoji                  ; candle                                                         # E0.7   [1] (🕯️)
1F570 FE0F    ; Basic_Emoji                  ; mantelpiece clock                                              # E0.7   [1] (🕰️)
1F573 FE0F    ; Basic_Emoji                  ; hole                                                           # E0.7   [1] (🕳️)
1F574 FE0F    ; Basic_Emoji                  ; person in suit levitating                                      # E0.7   [1] (🕴️)
1F575 FE0F    ; Basic_Emoji                  ; detective                                                      # E0.7   [1] (🕵️)
1F576 FE0F    ; Basic_Emoji                  ; sunglasses                                                     # E0.7   [1] (🕶️)
1F577 FE0F    ; Basic_Emoji                  ; spider                                                         # E0.7   [1] (🕷️)
1F578 FE0F    ; Basic_Emoji                  ; spider web                                                     # E0.7   [1] (🕸️)
1F579 FE0F    ; Basic_Emoji                  ; joystick                                                       # E0.7   [1] (🕹️)
1F587 FE0F    ; Basic_Emoji                  ; linked paperclips                                              # E0.7   [1] (🖇️)
1F58A FE0F    ; Basic_Emoji                  ; pen                                                            # E0.7   [1] (🖊️)
1F58B FE0F    ; Basic_Emoji                  ; fountain pen                                                   # E0.7   [1] (🖋️)
1F58C FE0F    ; Basic_Emoji                  ; paintbrush                                                     # E0.7   [1] (🖌️)
1F58D FE0F    ; Basic_Emoji                  ; crayon                                                         # E0.7   [1] (🖍️)
1F590 FE0F    ; Basic_Emoji                  ; hand with fingers splayed                                      # E0.7   [1] (🖐️)
1F5A5 FE0F    ; Basic_Emoji                  ; desktop computer                                               # E0.7   [1] (🖥️)
1F5A8 FE0F    ; Basic_Emoji                  ; printer                                                        # E0.7   [1] (🖨️)
1F5B1 FE0F    ; Basic_Emoji                  ; computer mouse                                                 # E0.7   [1] (🖱️)
1F5B2 FE0F    ; Basic_Emoji                  ; trackball                                                      # E0.7   [1] (🖲️)
1F5BC FE0F    ; Basic_Emoji                  ; framed picture                                                 # E0.7   [1] (🖼️)
1F5C2 FE0F    ; Basic_Emoji                  ; card index dividers                                            # E0.7   [1] (🗂️)
1F5C3 FE0F    ; Basic_Emoji                  ; card file box                                                  # E0.7   [1] (🗃️)
1F5C4 FE0F    ; Basic_Emoji                  ; file cabinet                                                   # E0.7   [1] (🗄️)
1F5D1 FE0F    ; Basic_Emoji                  ; wastebasket                                                    # E0.7   [1] (🗑️)
1F5D2 FE0F    ; Basic_Emoji                  ; spiral notepad                                                 # E0.7   [1] (🗒️)
1F5D3 FE0F    ; Basic_Emoji                  ; spiral calendar                                                # E0.7   [1] (🗓️)
1F5DC FE0F    ; Basic_Emoji                  ; clamp                                                          # E0.7   [1] (🗜️)
1F5DD FE0F    ; Basic_Emoji                  ; old key                                                        # E0.7   [1] (🗝️)
1F5DE FE0F    ; Basic_Emoji                  ; rolled-up newspaper                                            # E0.7   [1] (🗞️)
1F5E1 FE0F    ; Basic_Emoji                  ; dagger                                                         # E0.7   [1] (🗡️)
1F5E3 FE0F    ; Basic_Emoji                  ; speaking head                                                  # E0.7   [1] (🗣️)
1F5E8 FE0F    ; Basic_Emoji                  ; left speech bubble                                             # E2.0   [1] (🗨️)
1F5EF FE0F    ; Basic_Emoji                  ; right anger bubble                                             # E0.7   [1] (🗯️)
1F5F3 FE0F    ; Basic_Emoji                  ; ballot box with ballot                                         # E0.7   [1] (🗳️)
1F5FA FE0F    ; Basic_Emoji                  ; world map                                                      # E0.7   [1] (🗺️)
1F6CB FE0F    ; Basic_Emoji                  ; couch and lamp                                                 # E0.7   [1] (🛋️)
1F6CD FE0F    ; Basic_Emoji                  ; shopping bags                                                  # E0.7   [1] (🛍️)
1F6CE FE0F    ; Basic_Emoji                  ; bellhop bell                                                   # E0.7   [1] (🛎️)
1F6CF FE0F    ; Basic_Emoji                  ; bed                                                            # E0.7   [1] (🛏️)
1F6E0 FE0F    ; Basic_Emoji                  ; hammer and wrench                                              # E0.7   [1] (🛠️)
1F6E1 FE0F    ; Basic_Emoji                  ; shield                                                         # E0.7   [1] (🛡️)
1F6E2 FE0F    ; Basic_Emoji                  ; oil drum                                                       # E0.7   [1] (🛢️)
1F6E3 FE0F    ; Basic_Emoji                  ; motorway                                                       # E0.7   [1] (🛣️)
1F6E4 FE0F    ; Basic_Emoji                  ; railway track                                                  # E0.7   [1] (🛤️)
1F6E5 FE0F    ; Basic_Emoji                  ; motor boat                                                     # E0.7   [1] (🛥️)
1F6E9 FE0F    ; Basic_Emoji                  ; small airplane                                                 # E0.7   [1] (🛩️)
1F6F0 FE0F    ; Basic_Emoji                  ; satellite                                                      # E0.7   [1] (🛰️)
1F6F3 FE0F    ; Basic_Emoji                  ; passenger ship                                                 # E0.7   [1] (🛳️)
0023 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: \x{23}                                                 # E0.6   [1] (#️⃣)
002A FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: *                                                      # E2.0   [1] (*️⃣)
0030 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 0                                                      # E0.6   [1] (0️⃣)
0031 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 1                                                      # E0.6   [1] (1️⃣)
0032 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 2                                                      # E0.6   [1] (2️⃣)
0033 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 3                                                      # E0.6   [1] (3️⃣)
0034 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 4                                                      # E0.6   [1] (4️⃣)
0035 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 5                                                      # E0.6   [1] (5️⃣)
0036 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 6                                                      # E0.6   [1] (6️⃣)
0037 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 7                                                      # E0.6   [1] (7️⃣)
0038 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 8                                                      # E0.6   [1] (8️⃣)
0039 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 9                                                      # E0.6   [1] (9️⃣)
1F1E6 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Ascension Island                                         # E2.0   [1] (🇦🇨)
1F1E6 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Andorra                                                  # E2.0   [1] (🇦🇩)
1F1E6 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: United Arab Emirates                                     # E2.0   [1] (🇦🇪)
1F1E6 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: Afghanistan                                              # E2.0   [1] (🇦🇫)
1F1E6 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Antigua & Barbuda                                        # E2.0   [1] (🇦🇬)
1F1E6 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Anguilla                                                 # E2.0   [1] (🇦🇮)
1F1E6 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Albania                                                  # E2.0   [1] (🇦🇱)
1F1E6 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Armenia                                                  # E2.0   [1] (🇦🇲)
1F1E6 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Angola                                                   # E2.0   [1] (🇦🇴)
1F1E6 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Antarctica                                               # E2.0   [1] (🇦🇶)
1F1E6 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Argentina                                                # E2.0   [1] (🇦🇷)
1F1E6 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: American Samoa                                           # E2.0   [1] (🇦🇸)
1F1E6 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Austria                                                  # E2.0   [1] (🇦🇹)
1F1E6 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Australia                                                # E2.0   [1] (🇦🇺)
1F1E6 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Aruba                                                    # E2.0   [1] (🇦🇼)
1F1E6 1F1FD   ; RGI_Emoji_Flag_Sequence      ; flag: Åland Islands                                            # E2.0   [1] (🇦🇽)
1F1E6 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Azerbaijan                                               # E2.0   [1] (🇦🇿)
1F1E7 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Bosnia & Herzegovina                                     # E2.0   [1] (🇧🇦)
1F1E7 1F1E7   ; RGI_Emoji_Flag_Sequence      ; flag: Barbados                                                 # E2.0   [1] (🇧🇧)
1F1E7 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Bangladesh                                               # E2.0   [1] (🇧🇩)
1F1E7 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Belgium                                                  # E2.0   [1] (🇧🇪)
1F1E7 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: Burkina Faso                                             # E2.0   [1] (🇧🇫)
1F1E7 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Bulgaria                                                 # E2.0   [1] (🇧🇬)
1F1E7 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Bahrain                                                  # E2.0   [1] (🇧🇭)
1F1E7 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Burundi                                                  # E2.0   [1] (🇧🇮)
1F1E7 1F1EF   ; RGI_Emoji_Flag_Sequence      ; flag: Benin                                                    # E2.0   [1] (🇧🇯)
1F1E7 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: St. Barthélemy                                           # E2.0   [1] (🇧🇱)
1F1E7 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Bermuda                                                  # E2.0   [1] (🇧🇲)
1F1E7 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: Brunei                                                   # E2.0   [1] (🇧🇳)
1F1E7 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Bolivia                                                  # E2.0   [1] (🇧🇴)
1F1E7 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Caribbean Netherlands                                    # E2.0   [1] (🇧🇶)
1F1E7 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Brazil                                                   # E2.0   [1] (🇧🇷)
1F1E7 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: Bahamas                                                  # E2.0   [1] (🇧🇸)
1F1E7 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Bhutan                                                   # E2.0   [1] (🇧🇹)
1F1E7 1F1FB   ; RGI_Emoji_Flag_Sequence      ; flag: Bouvet Island                                            # E2.0   [1] (🇧🇻)
1F1E7 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Botswana                                                 # E2.0   [1] (🇧🇼)
1F1E7 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Belarus                                                  # E2.0   [1] (🇧🇾)
1F1E7 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Belize                                                   # E2.0   [1] (🇧🇿)
1F1E8 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Canada                                                   # E2.0   [1] (🇨🇦)
1F1E8 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Cocos (Keeling) Islands                                  # E2.0   [1] (🇨🇨)
1F1E8 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Congo - Kinshasa                                         # E2.0   [1] (🇨🇩)
1F1E8 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: Central African Republic                                 # E2.0   [1] (🇨🇫)
1F1E8 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Congo - Brazzaville                                      # E2.0   [1] (🇨🇬)
1F1E8 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Switzerland                                              # E2.0   [1] (🇨🇭)
1F1E8 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Côte d’Ivoire                                            # E2.0   [1] (🇨🇮)
1F1E8 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Cook Islands                                             # E2.0   [1] (🇨🇰)
1F1E8 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Chile                                                    # E2.0   [1] (🇨🇱)
1F1E8 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Cameroon                                                 # E2.0   [1] (🇨🇲)
1F1E8 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: China                                                    # E0.6   [1] (🇨🇳)
1F1E8 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Colombia                                                 # E2.0   [1] (🇨🇴)
1F1E8 1F1F5   ; RGI_Emoji_Flag_Sequence      ; flag: Clipperton Island                                        # E2.0   [1] (🇨🇵)
1F1E8 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Sark                                                     # E16.0  [1] (🇨🇶)
1F1E8 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Costa Rica                                               # E2.0   [1] (🇨🇷)
1F1E8 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Cuba                                                     # E2.0   [1] (🇨🇺)
1F1E8 1F1FB   ; RGI_Emoji_Flag_Sequence      ; flag: Cape Verde                                               # E2.0   [1] (🇨🇻)
1F1E8 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Curaçao                                                  # E2.0   [1] (🇨🇼)
1F1E8 1F1FD   ; RGI_Emoji_Flag_Sequence      ; flag: Christmas Island                                         # E2.0   [1] (🇨🇽)
1F1E8 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Cyprus                                                   # E2.0   [1] (🇨🇾)
1F1E8 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Czechia                                                  # E2.0   [1] (🇨🇿)
1F1E9 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Germany                                                  # E0.6   [1] (🇩🇪)
1F1E9 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Diego Garcia                                             # E2.0   [1] (🇩🇬)
1F1E9 1F1EF   ; RGI_Emoji_Flag_Sequence      ; flag: Djibouti                                                 # E2.0   [1] (🇩🇯)
1F1E9 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Denmark                                                  # E2.0   [1] (🇩🇰)
1F1E9 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Dominica                                                 # E2.0   [1] (🇩🇲)
1F1E9 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Dominican Republic                                       # E2.0   [1] (🇩🇴)
1F1E9 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Algeria                                                  # E2.0   [1] (🇩🇿)
1F1EA 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Ceuta & Melilla                                          # E2.0   [1] (🇪🇦)
1F1EA 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Ecuador                                                  # E2.0   [1] (🇪🇨)
1F1EA 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Estonia                                                  # E2.0   [1] (🇪🇪)
1F1EA 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Egypt                                                    # E2.0   [1] (🇪🇬)
1F1EA 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Western Sahara                                           # E2.0   [1] (🇪🇭)
1F1EA 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Eritrea                                                  # E2.0   [1] (🇪🇷)
1F1EA 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: Spain                                                    # E0.6   [1] (🇪🇸)
1F1EA 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Ethiopia                                                 # E2.0   [1] (🇪🇹)
1F1EA 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: European Union                                           # E2.0   [1] (🇪🇺)
1F1EB 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Finland                                                  # E2.0   [1] (🇫🇮)
1F1EB 1F1EF   ; RGI_Emoji_Flag_Sequence      ; flag: Fiji                                                     # E2.0   [1] (🇫🇯)
1F1EB 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Falkland Islands                                         # E2.0   [1] (🇫🇰)
1F1EB 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Micronesia                                               # E2.0   [1] (🇫🇲)
1F1EB 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Faroe Islands                                            # E2.0   [1] (🇫🇴)
1F1EB 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: France                                                   # E0.6   [1] (🇫🇷)
1F1EC 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Gabon                                                    # E2.0   [1] (🇬🇦)
1F1EC 1F1E7   ; RGI_Emoji_Flag_Sequence      ; flag: United Kingdom                                           # E0.6   [1] (🇬🇧)
1F1EC 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Grenada                                                  # E2.0   [1] (🇬🇩)
1F1EC 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Georgia                                                  # E2.0   [1] (🇬🇪)
1F1EC 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: French Guiana                                            # E2.0   [1] (🇬🇫)
1F1EC 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Guernsey                                                 # E2.0   [1] (🇬🇬)
1F1EC 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Ghana                                                    # E2.0   [1] (🇬🇭)
1F1EC 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Gibraltar                                                # E2.0   [1] (🇬🇮)
1F1EC 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Greenland                                                # E2.0   [1] (🇬🇱)
1F1EC 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Gambia                                                   # E2.0   [1] (🇬🇲)
1F1EC 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: Guinea                                                   # E2.0   [1] (🇬🇳)
1F1EC 1F1F5   ; RGI_Emoji_Flag_Sequence      ; flag: Guadeloupe                                               # E2.0   [1] (🇬🇵)
1F1EC 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Equatorial Guinea                                        # E2.0   [1] (🇬🇶)
1F1EC 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Greece                                                   # E2.0   [1] (🇬🇷)
1F1EC 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: South Georgia & South Sandwich Islands                   # E2.0   [1] (🇬🇸)
1F1EC 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Guatemala                                                # E2.0   [1] (🇬🇹)
1F1EC 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Guam                                                     # E2.0   [1] (🇬🇺)
1F1EC 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Guinea-Bissau                                            # E2.0   [1] (🇬🇼)
1F1EC 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Guyana                                                   # E2.0   [1] (🇬🇾)
1F1ED 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Hong Kong SAR China                                      # E2.0   [1] (🇭🇰)
1F1ED 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Heard & McDonald Islands                                 # E2.0   [1] (🇭🇲)
1F1ED 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: Honduras                                                 # E2.0   [1] (🇭🇳)
1F1ED 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Croatia                                                  # E2.0   [1] (🇭🇷)
1F1ED 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Haiti                                                    # E2.0   [1] (🇭🇹)
1F1ED 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Hungary                                                  # E2.0   [1] (🇭🇺)
1F1EE 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Canary Islands                                           # E2.0   [1] (🇮🇨)
1F1EE 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Indonesia                                                # E2.0   [1] (🇮🇩)
1F1EE 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Ireland                                                  # E2.0   [1] (🇮🇪)
1F1EE 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Israel                                                   # E2.0   [1] (🇮🇱)
1F1EE 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Isle of Man                                              # E2.0   [1] (🇮🇲)
1F1EE 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: India                                                    # E2.0   [1] (🇮🇳)
1F1EE 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: British Indian Ocean Territory                           # E2.0   [1] (🇮🇴)
1F1EE 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Iraq                                                     # E2.0   [1] (🇮🇶)
1F1EE 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Iran                                                     # E2.0   [1] (🇮🇷)
1F1EE 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: Iceland                                                  # E2.0   [1] (🇮🇸)
1F1EE 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Italy                                                    # E0.6   [1] (🇮🇹)
1F1EF 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Jersey                                                   # E2.0   [1] (🇯🇪)
1F1EF 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Jamaica                                                  # E2.0   [1] (🇯🇲)
1F1EF 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Jordan                                                   # E2.0   [1] (🇯🇴)
1F1EF 1F1F5   ; RGI_Emoji_Flag_Sequence      ; flag: Japan                                                    # E0.6   [1] (🇯🇵)
1F1F0 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Kenya                                                    # E2.0   [1] (🇰🇪)
1F1F0 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Kyrgyzstan                                               # E2.0   [1] (🇰🇬)
1F1F0 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Cambodia                                                 # E2.0   [1] (🇰🇭)
1F1F0 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Kiribati                                                 # E2.0   [1] (🇰🇮)
1F1F0 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Comoros                                                  # E2.0   [1] (🇰🇲)
1F1F0 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: St. Kitts & Nevis                                        # E2.0   [1] (🇰🇳)
1F1F0 1F1F5   ; RGI_Emoji_Flag_Sequence      ; flag: North Korea                                              # E2.0   [1] (🇰🇵)
1F1F0 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: South Korea                                              # E0.6   [1] (🇰🇷)
1F1F0 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Kuwait                                                   # E2.0   [1] (🇰🇼)
1F1F0 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Cayman Islands                                           # E2.0   [1] (🇰🇾)
1F1F0 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Kazakhstan                                               # E2.0   [1] (🇰🇿)
1F1F1 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Laos                                                     # E2.0   [1] (🇱🇦)
1F1F1 1F1E7   ; RGI_Emoji_Flag_Sequence      ; flag: Lebanon                                                  # E2.0   [1] (🇱🇧)
1F1F1 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: St. Lucia                                                # E2.0   [1] (🇱🇨)
1F1F1 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Liechtenstein                                            # E2.0   [1] (🇱🇮)
1F1F1 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Sri Lanka                                                # E2.0   [1] (🇱🇰)
1F1F1 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Liberia                                                  # E2.0   [1] (🇱🇷)
1F1F1 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: Lesotho                                                  # E2.0   [1] (🇱🇸)
1F1F1 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Lithuania                                                # E2.0   [1] (🇱🇹)
1F1F1 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Luxembourg                                               # E2.0   [1] (🇱🇺)
1F1F1 1F1FB   ; RGI_Emoji_Flag_Sequence      ; flag: Latvia                                                   # E2.0   [1] (🇱🇻)
1F1F1 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Libya                                                    # E2.0   [1] (🇱🇾)
1F1F2 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Morocco                                                  # E2.0   [1] (🇲🇦)
1F1F2 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Monaco                                                   # E2.0   [1] (🇲🇨)
